1930
UPDATE SCORE;-3219;-3199
TD_ADD;Sort up saved items;
RT_completed;10;Breakfast;
UPDATE SCORE;-3199;-2699
TD_ADD;vinod's pc reset;
COMPLETED DT2;Find ML competetion (look atleast 100);
UPDATE SCORE;-2699;-2499
TD_ADD;Dummy;
TD_DEL;36;Dummy;
RT_DEL;3;Medicine morning;
RT_DEL;4;Cream morning;
COMPLETED DT3;Confirmation pop up;
UPDATE SCORE;-2499;-2199
TD_ADD;Rishabh tasks;
COMPLETED DT1;Mail complete clean;
UPDATE SCORE;-2199;-1699
TD_completed;35;vinod's pc reset;202;
UPDATE SCORE;-1699;-1497
TD_completed;36;Rishabh tasks;834;
UPDATE SCORE;-1497;-663
TD_DEL;33;Create and assign labels in gmail;
TD_ADD;Automate labelling mail;
TD_DEL;36;Automate labelling mail;
TD_ADD;Automate labelling mail + add dt feature with dropdown + create notebook and basics for competition;
NEW DAY;20230226;DAILY CHARGE;
RESET_DT;
UPDATE SCORE;-663;-1663
TD_DEL;36;Automate labelling mail + add dt feature with dropdown + create notebook and basics for competition;
TD_ADD;Vinod laptop 2;
RT_completed;0;Open GRL;
UPDATE SCORE;-1663;-1643
WALK;20230225;674;
UPDATE SCORE;-1643;-969
COMPLETED DT1;automate mail labelling;
UPDATE SCORE;-969;-769
DT_Create;1;automate mail labellin
DT_Create;1;automate mail labelling
COMPLETED DT2;add dt feature;
UPDATE SCORE;-769;-469
COMPLETED DT3;create notebook and directory for competition;
UPDATE SCORE;-469;31
TD_completed;36;Vinod laptop 2;104;
UPDATE SCORE;31;135
RT_completed;5;Cream night;
UPDATE SCORE;135;235
TD_ADD;Study of money influx;
NEW DAY;20230227;DAILY CHARGE;
RESET_DT;
UPDATE SCORE;235;-765
TD_ADD;Vnc project;
DT_Create;1;Comp data read and 4 charts
TD_ADD;2nd years session GC;
DT_Create;2;Limit completed to do visibility
DT_Create;3;Pc clean and back up 1 hr
WALK;20230226;682;
UPDATE SCORE;-765;-83
RT_completed;0;Open GRL;
UPDATE SCORE;-83;-63
RT_completed;8;Breakfast;
UPDATE SCORE;-63;437
RT_ADD;Call ;200;
TD_ADD;Unstop quiz 24th march;
TD_ADD;Clothes laundry;
TD_ADD;Cycle puncture;
TD_ADD;Office install;
ET;RandomTask;177;
UPDATE SCORE;437;614
COMPLETED DT1;Comp data read and 4 charts;
UPDATE SCORE;614;814
COMPLETED DT2;Limit completed to do visibility;
UPDATE SCORE;814;1114
COMPLETED DT3;Pc clean and back up 1 hr;
UPDATE SCORE;1114;1614
TD_completed;43;Office install;460;
UPDATE SCORE;1614;2074
TD_DEL;30;create add task to dt feature;
TD_ADD;Add DT feature;
TD_completed;43;Add DT feature;77;
UPDATE SCORE;2074;2151
RT_completed;4;Cream evening;
UPDATE SCORE;2151;2251
TD_completed;39;Unstop quiz 24th march;89;
UPDATE SCORE;2251;2340
TD_UNDO;39;Unstop quiz 24th march;
UPDATE SCORE;2340;2251
TD_completed;38;2nd years session GC;571;
UPDATE SCORE;2251;2822
NEW DAY;20230228;DAILY CHARGE;
RESET_DT;
UPDATE SCORE;2822;1822
DT_Create;1;Comp eda
DT_Create;2;Comp eda
DT_Create;3;Extension complete
RT_completed;0;Open GRL;
UPDATE SCORE;1822;1842
RT_completed;8;Breakfast;
UPDATE SCORE;1842;2342
WALK;20230227;366;
UPDATE SCORE;2342;2708
TD_ADD;Fold clothes;
COMPLETED DT3;Extension complete;
UPDATE SCORE;2708;2908
COMPLETED DT1;Comp eda;
UPDATE SCORE;2908;3208
NEW DAY;20230301;DAILY CHARGE;
RESET_DT;
TD_ADD;Comp eda;
UPDATE SCORE;3208;2208
DT_Create;1;Comp eda
DT_Create;2;Extension pack
DT_Create;3;Draw tool
TD_DEL;45;Comp eda;
TD_DEL;41;Cycle puncture;
TD_completed;43;Fold clothes;50;
UPDATE SCORE;2208;2258
WALK;20230228;251;
UPDATE SCORE;2258;2509
RT_completed;0;Open GRL;
UPDATE SCORE;2509;2529
COMPLETED DT1;Comp eda;
UPDATE SCORE;2529;2729
COMPLETED DT2;Extension pack;
UPDATE SCORE;2729;3029
COMPLETED DT3;Draw tool;
UPDATE SCORE;3029;3529
NEW DAY;20230302;DAILY CHARGE;
RESET_DT;
UPDATE SCORE;3529;2529
RT_completed;0;Open GRL;
UPDATE SCORE;2529;2549
WALK;20230301;490;
UPDATE SCORE;2549;3039
RT_completed;8;Breakfast;
UPDATE SCORE;3039;3539
DT_Create;1;Shirt button
DT_Create;2;React extension (1/2)
DT_Create;3;Godaddy baseline improve
ET;RandomTask;150;
UPDATE SCORE;3539;3689
TD_DEL;5;Wardrobe segmenter improve 1 day;
COMPLETED DT3;Godaddy baseline improve;
UPDATE SCORE;3689;3889
COMPLETED DT1;Shirt button;
UPDATE SCORE;3889;4189
NEW DAY;20230303;DAILY CHARGE;
RESET_DT;
TD_ADD;React extension (1/2);
UPDATE SCORE;4189;3189
RT_completed;0;Open GRL;
UPDATE SCORE;3189;3209
DT_Create;1;Treasure hunt x 1hr
DT_Create;2;Cloth laundry
DT_Create;3;React extension (1/2)
TD_DEL;43;React extension (1/2);
RT_completed;8;Breakfast;
UPDATE SCORE;3209;3709
WALK;20230302;549;
UPDATE SCORE;3709;4258
COMPLETED DT1;Treasure hunt x 1hr;
